84	-8,3736				
84,4	-8,3734				
84,8	-8,3732				
85,2	-8,3717				
85,6	-8,3721				
86	-8,3719				
86,4	-8,3662				
86,8	-8,3712				
87,2	-8,37				
87,6	-8,3695				
88	-8,3707				
88,4	-8,3705				
88,8	-8,369				
89,2	-8,3705				
89,6	-8,3707				
90	-8,3704				
90,4	-8,3708				
90,8	-8,3702				
91,2	-8,37				
91,6	-8,3705				
92	-8,368				
92,4	-8,3698				
92,8	-8,3695				
93,2	-8,3697				
93,6	-8,3691				
94	-8,3671				
94,4	-8,3687				
94,8	-8,3684				
95,2	-8,3658				
95,6	-8,3675				
96	-8,3668				
96,4	-8,3653				
96,8	-8,3645				
97,2	-8,3651				
97,6	-8,3615				
98	-8,3659				
98,4	-8,3673				
98,8	-8,3642				
99,2	-8,3652				
99,6	-8,3657				
100	-8,3661				
100,4	-8,3629				
100,8	-8,3624				
101,2	-8,3647				
101,6	-8,3639				
102	-8,3659				
102,4	-8,3644				
102,8	-8,3636				
103,2	-8,3634				
103,6	-8,3604				
104	-8,363				
104,4	-8,3598				
104,8	-8,3627				
105,2	-8,3551				
105,6	-8,3641				
106	-8,3607				
106,4	-8,3606				
106,8	-8,356				
107,2	-8,3593				
107,6	-8,3598				
108	-8,3609				
108,4	-8,3599				
108,8	-8,3557				
109,2	-8,3592				
109,6	-8,3593				
110	-8,3573				
110,4	-8,3584				
110,8	-8,358				
111,2	-8,3578				
111,6	-8,3571				
112	-8,3562				
112,4	-8,3574				
112,8	-8,3561				
113,2	-8,3594				
113,6	-8,354				
114	-8,3526				
114,4	-8,3565				
114,8	-8,3496				
115,2	-8,3571				
115,6	-8,3533				
116	-8,3541				
116,4	-8,356				
116,8	-8,3541				
117,2	-8,3455				
117,6	-8,3537				
118	-8,3523				
118,4	-8,3542				
118,8	-8,3502				
119,2	-8,3533				
119,6	-8,3503				
120	-8,3481				
120,4	-8,3517				
120,8	-8,3515				
121,2	-8,3504				
121,6	-8,3483				
122	-8,346				
122,4	-8,3479				
122,8	-8,3469				
123,2	-8,3493				
123,6	-8,3466				
124	-8,3482				
124,4	-8,3438				
124,8	-8,3478				
125,2	-8,3404				
125,6	-8,3465				
126	-8,3423				
126,4	-8,3479				
126,8	-8,3442				
127,2	-8,3483				
127,6	-8,3439				
128	-8,3466				
128,4	-8,3466				
128,8	-8,3439				
129,2	-8,3459				
129,6	-8,3451				
130	-8,3415				
130,4	-8,3453				
130,8	-8,3452				
131,2	-8,338				
131,6	-8,3464				
132	-8,3397				
132,4	-8,3466				
132,8	-8,3381				
133,2	-8,3436				
133,6	-8,3371				
134	-8,3434				
134,4	-8,3389				
134,8	-8,3433				
135,2	-8,3397				
135,6	-8,3423				
136	-8,3373				
136,4	-8,3413				
136,8	-8,3386				
137,2	-8,3389				
137,6	-8,3411				
138	-8,3392				
138,4	-8,3346				
138,8	-8,3436				
139,2	-8,3381				
139,6	-8,3424				
140	-8,3333				
140,4	-8,3409				
140,8	-8,335				
141,2	-8,3389				
141,6	-8,3368				
142	-8,3403				
142,4	-8,3403				
142,8	-8,3333				
143,2	-8,3414				
143,6	-8,3369				
144	-8,3387				
144,4	-8,3299				
144,8	-8,3387				
145,2	-8,3314				
145,6	-8,3377				
146	-8,3308				
